crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Abutilon,Abutilon Infectious Variegation,"What looks like a normal genetic variegation is due to the Abutilon mosaic bigeminivirus. These phloem-limited viruses are composed of single-stranded DNA and replicate best in young leaves. A single variegated seedling was imported into England from the West Indies in 1868 and vegetatively propagated as an ornamental cultivar. Although transmission occurs through grafting, it is naturally transmitted by a whitefly (Bemisia tabaci) in Brazil. One of the few cases of a desired plant disease.


","Bright yellow angular patches on green leaves typically referred to as a mosaic. Occasionally a branch may revert back to normal with only green leaves.


",,,
African Violet ,(Saintpaulia spp.)-Gray Mold,"Botrytis cinerea, a fungus. The disease may become severe when plants are crowded and growing conditions are humid. This fungus readily colonizes senescent leaves and flower parts.


","Affected parts of the plant become covered with a gray fungal growth. Flowers, leaves, and crowns may be affected. Leaf infection often occurs when withered flowers drop and adhere to the leaves. Infection of the petioles may occur at the point where they come in contact with the pot or other containers.


","

1) Avoid crowding plants.

2) Improve ventilation and reduce humidity.

3) Avoid overhead watering.

4) Remove and destroy badly affected plants or plant parts.

","Best when used with cultural controls. Tank-mix and/or alternate products from different groups with different modes of action to prevent the build-up of resistant fungi.


1) Decree 50 WDG at 0.75 to 1.5 lb/100 gal water. Do not use more than two (2) sequential applications. Group 17 fungicide. 12-hr reentry.

2) Emblem at 2 to 4 fl oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

3) Exotherm Termil (chlorothalonil) at 1 can/1500 sq ft of greenhouse. It ignites to form a vapor that condenses on the plants. See label for details. Group M5 fungicide. 24-hr reentry with no ventilation or 12-hr reentry with ventilation.

4) Mancozeb-based products can be used as mixing partners and provides some protection. Group M3 fungicides. 24-hr reentry.

4.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
4.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
5) Medallion WDG at 2 to 4 oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

6) Mozart TR at 1 can/4,500 sq ft of greenhouse. Group 12 fungicide. 12-hr reentry with no ventilation.

7) Pageant at 12 to 18 oz/100 gal water. Do not use more than two (2) consecutive applications before switching to a different fungicide group. Group 7 + 11 fungicide. 12-hr reentry.

8) Sil-Matrix at 1 to 4 quarts/100 gal water plus a nonionic surfactant. 4-hr reentry.

9) Terraguard SC at 4 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

","


1) Prestop ( strain J1446) at 3.5 oz/5 gal water. Do not use with other products in the tank. 0-hr reentry.

"
African Violet ,(Saintpaulia spp.)-Leaf Etch,,"Brown lines occur in concentric patterns around or near the petiole.


",,,
African Violet ,"(Saintpaulia spp.)-Nematode, Foliar",,,,,
African Violet ,(Saintpaulia spp.)-Ring Spot (Water Spot),"A rapid drop in leaf temperature for a few seconds drastically decreases photosynthetic activity and irreversibly destroys the ultrastructural composition of leaf palisade cells. Generally occurs in the home when African violets are watered from the top with cold water or when cold water splashes onto leaves. This injury, however, can be caused by immersion in 77°F water if the leaf temperature before the immersion was higher than 95°F. Thus, leaf spot is caused by a temperature difference, and does not always require a ""chilling"" temperature. The fate to irreversible injury does not depend on the extent of coldness or chilled period to which leaf was exposed but the temperature gradient at the boundary between the chilled and unchilled area, which seems to be crucial in the formation of leaf spot.
The sensitivity varied among cultivars where Maui and New Jersey were relatively more tolerant to a rapid temperature drop by 15°C (30° to 15°C) than cultivars Ritali and Tamiko.


","White to yellow ringspots, lines, or arcs develop on the leaves.


","

1) Water plants from below, and avoid splashing cold water on leaves.

2) Use room temperature water to irrigate plants.

3) Grow less sensitive cultivars.

",,
African Violet ,(Saintpaulia spp.)-Root and Crown Rot,"Pythium ultimum, a fungus-like organism that is a common soilborne pathogen. The disease can be severe in overwatered soils or media with poor drainage. It survives unfavorable periods in soil and infected plant debris. Under favorable conditions, such as cooler soil-media temperatures, spores germinate and infect roots. Crowns and leaves or petioles in contact with the media can also be invaded. Leaf cuttings are also susceptible. After infection, the fungus-like microorganism spreads mainly in the inner tissues of the root and stems. A thick-walled survival structure, oospore, are produced that can persist for several years. Movement of infected plants and/or soil can spread this fungus-like microorganism. African violets are more susceptible when grown in high intensity light for prolonged periods or when infested with root knot nematodes. Most cultivars are susceptible.


","Plants suddenly wilt and die. Sometimes only the lower leaves and petioles become necrotic and dry. Plants are easily separated from the pot and media when the crown has decayed. Roots and root crowns become brown, soft, and mushy.


","

1) Sterilize rooting media and potting soil before planting. Also disinfect any tools and equipment that might be used and contaminate the media.

2) Avoid overwatering but keep soil evenly moist by sub-irrigating. Let plant get dry between waterings when not flowering.

3) Destroy diseased plants.

4) Fertilize only when plant is beginning to flower.

5) Avoid reusing pots or trays from a previous crop for propagation. If pots must be reused then wash off all debris and soak in a sanitizing solution or treat with aerated steam for 30 min.

","Soil drenches are useful before disease develops. Best used in conjunction with cultural control methods. Rotate fungicides from different groups that have a different mode of action for resistance management.


1) Banol at 2 to 3 fl oz/10 gal water. Group 28 fungicide. 24-hr reentry.

2) Banrot 40 WP at 6 to 12 oz/100 gal water. Group 1 + 14 fungicide. 12-hr reentry.

3) Mefenoxam 2 AQ at 0.49 to 0.98 fl oz/100 gal water as a soil drench. See label for media incorporation. Group 4 fungicide. 48-hr reentry.

4) MetaStar 2E at 0.5 to 2 fl oz/100 gal water. Group 4 fungicide. 48-hr reentry.

5) Proplant at 2 to 3 fl oz/10 gal water. Group 28 fungicide. 12-hr reentry.

6) Subdue MAXX at 0.5 to 1 oz/100 gal water. Group 4 fungicide. 48-hr reentry.

7) Terrazole 35 WP at 3.5 to 10 oz/100 gal water. Group 14 fungicide. 12-hr reentry.

8) Truban 30 WP at 3 to 10 oz/100 gal water. Group 14 fungicide. 12-hr reentry.

","


1) Prestop (strain J1446) at 1.4 to 3.5 oz/2.5 gal water as a drench. Do not use with other products in the tank. 0-hr reentry.

"
Ageratum,Botrytis Blight,"Botrytis cinerea, a fungus. The disease on Ageratum may become severe when plants are crowded and growing conditions are humid. This fungus readily colonizes senescent leaves and flower parts.


","Brown to black spots appear on leaves, stems, and flowers, which may later coalesce to involve larger areas. Under moist environmental conditions typical gray-brown spore masses of the fungus may appear.


","

1) Avoid crowding plants. Improve ventilation and reduce humidity. Avoid overhead watering.

2) Remove and destroy badly affected plants or plant parts.

","Best when used with cultural controls. Tank-mix and/or alternate products from different groups with different modes of action to prevent the build-up of resistant fungi.


1) Astun at 10 to 17 fl oz/100 gal water. Group 7 fungicide. 12-hr reentry.

2) Chipco 26019 N/G at 1 to 2.5 lb/100 gal water. Group 2 fungicide. 12-hr reentry.

3) Emblem at 2 to 4 fl oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

4) Exotherm Termil at 1 can/1500 sq ft of greenhouse. It ignites to form a vapor that condenses on the plants. See label for details. Group M5 fungicide. 24-hr reentry with no ventilation or 12-hr reentry with ventilation.

5) Mancozeb-based products can be used as mixing partners and provide some protection. Group M3 fungicides. 24-hr reentry.

5.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
5.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
6) Medallion WDG at 2 to 4 oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

7) OHP 6672 4.5 F at 10 to 14.5 fl oz/100 gal water plus another fungicide. Group 1 fungicide. 12-hr reentry.

8) Palladium at 4 to 6 oz/100 gal water. Avoid excessive runoff to small plants, which may result in stunting and/or chlorosis. Group 9 + 12 fungicide. 12-hr reentry.

9) Terraguard SC at 4 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

","


1) Prestop ( strain J1446) at 3.5 oz/5 gal water. Do not use with other products in the tank. 0-hr reentry.

"
Ageratum,Impatiens Necrotic Spot,,,,,
Ailanthus ,(Tree of Heaven)-Verticillium Wilt,"The disease has never been reported or found in the PNW. The tree is considered an invasive species since it can out compete native vegetation and is a prohibited nuisance plant in Portland and Salem, Oregon. For that reason, we may want this disease since it is being considered as a biocontrol to kill the tree. Verticillium nonalfalfae is a fungal wilt pathogen but is different than the one that attacks other crops.


","Wilting and defoliation of leaves from the tree. The vascular cambium shows yellow streaking when the bark is stripped away. Trees eventually die.


","Not sure any is needed.

",,
Ajuga,Botrytis Blight,,,,"Best when used on Ajuga along with cultural controls. Tank-mix and/or alternate products from different groups with different modes of action to prevent the build-up of resistant fungi.


1) Astun at 10 to 17 fl oz/100 gal water. Group 7 fungicide. 12-hr reentry.

2) Chipco 26019 N/G at 1 to 2.5 lb/100 gal water. Limit to two (2) applications per year to aid resistance management. Group 2 fungicide. 12-hr reentry.

3) Decree 50 WDG at 0.75 to 1.5 lb/100 gal water. Do not use more than two (2) sequential applications. Group 17 fungicide. 12-hr reentry.

4) Terraguard SC at 4 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry..

",
